candidate,single_side_cost_bps,rebalance_date,pair,intersection_count,union_count,overlap_ratio,account_unique_count
B,10,2024-06-28,momentum/quality,1,56,0.017857142857142856,77
B,10,2024-12-31,growth/momentum,3,57,0.052631578947368418,77
B,10,2024-12-31,growth/quality,5,50,0.10000000000000001,77
B,10,2024-12-31,momentum/quality,0,55,0,77
B,10,2025-06-30,growth/momentum,2,58,0.034482758620689655,79
B,10,2025-06-30,growth/quality,2,51,0.039215686274509803,79
B,10,2025-06-30,momentum/quality,0,53,0,79
B,10,2025-12-31,growth/momentum,7,53,0.13207547169811321,67
B,10,2025-12-31,growth/quality,3,45,0.066666666666666666,67
B,10,2025-12-31,momentum/quality,1,47,0.021276595744680851,67
B,10,2026-06-30,growth/momentum,4,56,0.071428571428571425,84
B,10,2026-06-30,growth/quality,1,58,0.017241379310344827,84
B,10,2026-06-30,momentum/quality,0,59,0,84
B,20,2021-06-30,growth/momentum,2,58,0.034482758620689655,74
B,20,2021-06-30,growth/quality,2,46,0.043478260869565216,74
B,20,2021-06-30,momentum/quality,1,47,0.021276595744680851,74
B,20,2021-12-31,growth/momentum,3,57,0.052631578947368418,68
B,20,2021-12-31,growth/quality,2,41,0.04878048780487805,68
B,20,2021-12-31,momentum/quality,0,43,0,68
B,20,2022-06-30,growth/momentum,2,58,0.034482758620689655,81
B,20,2022-06-30,growth/quality,4,54,0.07407407407407407,81
B,20,2022-06-30,momentum/quality,1,57,0.017543859649122806,81
B,20,2022-12-30,growth/momentum,3,57,0.052631578947368418,73
B,20,2022-12-30,growth/quality,2,46,0.043478260869565216,73
B,20,2022-12-30,momentum/quality,0,48,0,73
B,20,2023-06-30,growth/momentum,4,56,0.071428571428571425,68
B,20,2023-06-30,growth/quality,2,43,0.046511627906976744,68
B,20,2023-06-30,momentum/quality,2,43,0.046511627906976744,68
B,20,2023-12-29,growth/momentum,3,57,0.052631578947368418,66
B,20,2023-12-29,growth/quality,2,43,0.046511627906976744,66
B,20,2023-12-29,momentum/quality,5,40,0.125,66
B,20,2024-06-28,growth/momentum,5,55,0.090909090909090912,77
B,20,2024-06-28,growth/quality,4,53,0.075471698113207544,77
B,20,2024-06-28,momentum/quality,1,56,0.017857142857142856,77
B,20,2024-12-31,growth/momentum,3,57,0.052631578947368418,77
B,20,2024-12-31,growth/quality,5,50,0.10000000000000001,77
B,20,2024-12-31,momentum/quality,0,55,0,77
B,20,2025-06-30,growth/momentum,2,58,0.034482758620689655,79
B,20,2025-06-30,growth/quality,2,51,0.039215686274509803,79
B,20,2025-06-30,momentum/quality,0,53,0,79
B,20,2025-12-31,growth/momentum,7,53,0.13207547169811321,67
B,20,2025-12-31,growth/quality,3,45,0.066666666666666666,67
B,20,2025-12-31,momentum/quality,1,47,0.021276595744680851,67
B,20,2026-06-30,growth/momentum,4,56,0.071428571428571425,84
B,20,2026-06-30,growth/quality,1,58,0.017241379310344827,84
B,20,2026-06-30,momentum/quality,0,59,0,84
